Week #,Game #,Home Team,Away Team,Home Score,Away Score,Home Adjusted Goals (538),Away Adjusted Goals (538),Home Shot-based xG (538),Away Shot-based xG (538),Home non-shot xG (538),Away non-shot xG (538),Home xG (opta),Away xG (opta),Home shots (opta),Away shots (opta),Home shots on target (opta),Away shots on target (opta),Home xGt (ASA),Away xGt (ASA),Home xGp (ASA),Away xGp (ASA),Home xPts (ASA),Away xPts (ASA),Home xG (fbref),Away xG (fbref),,,,,,,,,,,,,,,,,,,
1,1,HOU,SJ,2,1,2.1,1.1,1.3,1.1,1.4,0.5,1.1,1.2,17,8,6,4,1.25,1.02,1.29,1.17,1.50,1.20,1.5,1.3,,,,,,,,,,,,,,,,,,,
1,2,SEA,MIN,4,0,3.7,0,2.6,0.9,1.7,1.3,2.8,1.2,17,17,9,5,2.52,0.99,2.52,0.99,2.50,0.35,2.9,1.3,,,,,,,,,,,,,,,,,,,
1,3,MTL,TFC,4,2,4.2,2.1,1,2.3,0.7,1.1,1,2.5,12,12,5,3,1.52,2.02,1.52,2.02,1.10,1.67,1.7,2,,,,,,,,,,,,,,,,,,,
1,4,ORL,ATL,0,0,0,0,1.5,1.1,2.2,1.3,0.8,1.2,11,11,3,3,1.36,1.22,1.36,1.23,1.49,1.23,1.2,0.8,,,,,,,,,,,,,,,,,,,
1,5,LAFC,ATX,2,0,1.6,0,2.4,0.6,2.4,1.2,2.7,0.7,24,12,9,3,2.74,1.09,2.74,1.10,2.44,0.41,2.4,1.2,,,,,,,,,,,,,,,,,,,
1,6,DCU,NYC,2,1,2.1,1.1,0.5,0.8,1,1.5,0.5,1.2,11,12,4,4,0.63,1.24,0.65,1.25,0.77,1.90,0.6,1.5,,,,,,,,,,,,,,,,,,,
1,7,DAL,COL,0,0,0,0,0.9,0.7,1.9,1.4,0.9,0.8,11,11,5,6,0.88,0.74,0.88,0.74,1.41,1.23,0.9,1,,,,,,,,,,,,,,,,,,,
1,8,RBNY,SKC,1,2,1.1,2.1,0.7,1.7,1.4,1.1,0.6,1.8,12,8,3,3,0.65,1.78,0.66,1.78,0.45,2.36,0.6,1.9,,,,,,,,,,,,,,,,,,,
1,9,CHI,NE,2,2,2.1,2.1,2.3,2,2.2,2.6,2.3,2,20,13,7,5,1.87,1.70,1.88,1.70,1.48,1.26,2.2,1.9,,,,,,,,,,,,,,,,,,,
1,10,NSH,CIN,2,2,2.1,2.1,3.1,1.6,2.4,0.6,3.5,1.9,31,7,13,2,3.18,1.87,3.20,1.87,2.19,0.61,3.4,1.8,,,,,,,,,,,,,,,,,,,
1,11,MIA,LA,2,3,2.1,3.2,2.7,1.3,2.1,0.5,2.6,1.4,19,6,8,5,2.47,1.33,2.47,1.33,2.16,0.63,2.8,1.3,,,,,,,,,,,,,,,,,,,
1,12,CLB,PHI,0,0,0,0,1.3,1,0.8,1.6,1.3,0.9,12,15,6,5,1.30,1.28,1.47,1.28,1.39,1.33,1.5,1.2,,,,,,,,,,,,,,,,,,,
1,13,VAN,POR,1,0,1.1,0,0.5,1.4,0.6,1.5,0.6,1.4,6,7,2,2,0.57,1.34,0.57,1.34,0.69,2.02,0.3,1,,,,,,,,,,,,,,,,,,,
2,14,SKC,ORL,1,1,1.1,1.1,0.4,1,1,0.7,0.4,1,9,11,5,4,0.47,1.16,0.47,1.26,0.76,1.95,0.7,1.3,,,,,,,,,,,,,,,,,,,
2,15,NYC,CIN,5,0,4.9,0,1.8,1.9,2,0.7,1.8,1.4,22,13,10,5,2.20,1.13,2.35,1.42,2.19,0.61,2,1,,,,,,,,,,,,,,,,,,,
2,16,NSH,MTL,2,2,2.1,2.1,2.8,0.5,1.7,0.8,2.9,0.7,18,9,8,4,2.46,0.63,2.55,0.63,2.56,0.31,2.5,0.8,,,,,,,,,,,,,,,,,,,
2,17,TOR,VAN,2,2,2.1,2.1,2,1.8,1.3,1.1,1.8,1.9,12,8,5,6,1.54,1.66,1.78,1.66,1.19,1.53,1.6,1.6,,,,,,,,,,,,,,,,,,,
2,18,SJ,DAL,3,1,3.2,1.1,2.7,1.9,1.1,1.6,3.4,1.6,15,8,7,4,2.99,1.44,3.02,1.69,2.45,0.39,2.7,1.8,,,,,,,,,,,,,,,,,,,
2,19,LAFC,SEA,1,1,1.1,1.1,0.9,1.2,1.5,0.9,0.8,1.2,9,9,4,3,0.51,0.92,0.51,0.98,0.91,1.72,0.7,0.8,,,,,,,,,,,,,,,,,,,
2,20,PHI,MIA,1,2,1.1,2.1,0.9,0.9,2.1,1.3,0.7,0.6,13,6,3,3,0.77,0.74,0.78,0.74,1.32,1.29,1.1,0.9,,,,,,,,,,,,,,,,,,,
2,21,ATL,CHI,3,1,2.8,1.1,2.0,1.3,1.6,1.2,1.9,1.3,18,12,6,5,1.67,1.14,1.79,1.15,1.77,0.97,1.7,1.3,,,,,,,,,,,,,,,,,,,
